SMILES;pce
C1C=c2c-3c([SiH2]c4cc[nH]c-34)c3cnc(cc3c2=C1)-c1nccc2nsnc12;8.2363464015628
[SiH2]1C=c2ccc3sc4c([nH]c5cc(-c6scc7C=C[SiH2]c67)c6=C[SiH2]C=c6c45)c3c2=C1;5.73803399230287
c1[nH]cc2c1ccc1cnc3cc4cc([se]c4cc3c21)-c1ncncn1;5.0387623829753885
C1C=c2c(cc3ccc4c5cnccc5c5cocc5c4c3c2=C1)-c1cccs1;3.50704813772787
C1cc2ccc3sc4cc5ccc6c[SiH2]cc6c5cc4c3c2c1;4.02085888773036
C1c(ccc1-c1cccc2c[SiH2]cc12)-c1ccc([nH]1)-c1cncs1;4.21356647410695
c1cc2sc3c(c4nsnc4c4cc(-c5scc6[se]ccc56)c5c[nH]cc5c34)c2[nH]1;3.61372634379501
C1C=c2ccc3ccc4c5ncc(cc5c5cscc5c4c3c2=C1)-c1cncs1;3.3740619044677
C1C=c2c3cc[se]c3c3oc4cc([nH]c4c3c2=C1)-c1ccco1;0.828333086373688
c1cc2csc(-c3ccc(-c4ccc([nH]4)-c4cccc5nsnc45)c4nsnc34)c2[nH]1;5.2892405298578495
C1C=c2c3c([se]c4ccc5cocc5c34)c3ncc(cc3c2=C1)C1=CC=CC1;3.3081541750594803
c1c[se]c(c1)-c1cc2oc3c(c2c2c[nH]cc12)c1ccccc1c1ccncc31;1.89001648552369
[SiH2]1c(ccc1-c1scc2ccoc12)-c1ccc(s1)-c1ccc[se]1;3.7193044986392905
C1C=c2c3C=C([SiH2]c3c3ncc4cccnc4c3c2=C1)c1ccccn1;5.46751865625142
C1C=c2cccc(-c3cc4[se]c5c(c6cscc6c6ccc7cscc7c56)c4s3)c2=C1;4.036001730341931
[SiH2]1C=Cc2[nH]c3c4[SiH2]C(=Cc4c4nsnc4c3c12)c1scc2ccsc12;4.9252115597647
C1C=c2c3cc[se]c3c3[nH]c4cc(-c5ccco5)c5ccccc5c4c3c2=C1;1.57959365904059
C1C=Cc2[se]c3c4[SiH2]C(=Cc4c4ccccc4c3c12)c1cncc2nsnc12;9.46125173698645
c1cc2[nH]c3c4sc(cc4c4ccccc4c3c2[nH]1)-c1cccnc1;1.36698921337224
[SiH2]1ccc2c1c(sc2-c1ccc[se]1)-c1sc(-c2ccc[se]2)c2[nH]ccc12;2.54239077369171
C1C=c2c3cc(-c4ccc[nH]4)c4cscc4c3c3c4cocc4c4C=C[SiH2]c4c3c2=C1;3.01031074691888
C1c(ccc1-c1ccccn1)-c1sc(-c2cccc3cocc23)c2sccc12;3.50910481503699
c1cc2c(scc2s1)-c1ccc2c(c1)c1c[nH]cc1c1cccnc21;1.47171152276403
